ICD10,Obs,Exp,PMR,PMR_95CI,PAR,major
F25,2,1.33,1.5,"(-0.58, 3.58)",0.01,Schizoaffective disorders
F40,1,0.68,1.47,"(-1.41, 4.35)",0.01,Phobic anxiety disorders
G04,3,1.9,1.58,"(-0.2, 3.36)",0.01,"Encephalitis, myelitis and encephalomyelitis"
G70,9,8.19,1.1,"(0.37, 1.83)",0.01,Myasthenia gravis and other myoneural disorders
G83,2,1.37,1.46,"(-0.56, 3.48)",0.01,Other paralytic syndromes
I06,3,1.04,2.88,"(-0.39, 6.15)",0.01,Rheumatic aortic valve diseases
I07,8,6.18,1.29,"(0.39, 2.19)",0.01,Rheumatic tricuspid valve diseases
I72,5,3.16,1.58,"(0.19, 2.97)",0.01,Other aneurysm
I81,2,1.19,1.68,"(-0.65, 4.01)",0.01,Portal vein thrombosis
J11,12,10.26,1.17,"(0.5, 1.84)",0.01,Influenza due to unidentified influenza virus
J45,64,62.18,1.03,"(0.78, 1.28)",0.01,Asthma
J47,10,8.74,1.14,"(0.43, 1.85)",0.01,Bronchiectasis
J98,110,105.52,1.04,"(0.84, 1.24)",0.01,Other respiratory disorders
K04,1,0.44,2.27,"(-2.18, 6.72)",0.01,Diseases of pulp and periapical tissues
K44,7,5.45,1.28,"(0.32, 2.24)",0.01,Diaphragmatic hernia
K58,3,2.1399999999999997,1.4,"(-0.19, 2.99)",0.01,Irritable bowel syndrome
M31,3,2.27,1.32,"(-0.17, 2.81)",0.01,Other necrotizing vasculopathies
M41,12,10.84,1.11,"(0.48, 1.74)",0.01,Scoliosis
M43,8,6.77,1.18,"(0.36, 2)",0.01,Other deforming dorsopathies
M77,1,0.54,1.85,"(-1.78, 5.48)",0.01,Other enthesopathies
M88,6,3.92,1.53,"(0.31, 2.75)",0.01,Osteitis deformans [Paget's disease of bone]
M96,2,1.22,1.64,"(-0.63, 3.91)",0.01,"Intraop and postproc comp and disorders of ms sys, NEC"
N12,2,1.52,1.32,"(-0.5, 3.14)",0.01,"Tubulo-interstitial nephritis, not spcf as acute or chronic"
N41,1,0.51,1.96,"(-1.88, 5.8)",0.01,Inflammatory diseases of prostate
N42,1,0.56,1.79,"(-1.72, 5.3)",0.01,Other and unspecified disorders of prostate
N73,2,1.02,1.96,"(-0.76, 4.68)",0.01,Other female pelvic inflammatory diseases
N82,1,0.66,1.52,"(-1.46, 4.5)",0.01,Fistulae involving female genital tract
Q90,1,0.41,2.44,"(-2.34, 7.22)",0.01,Down syndrome
R01,2,1.05,1.9,"(-0.75, 4.55)",0.01,Cardiac murmurs and other cardiac sounds
R11,17,15.87,1.07,"(0.56, 1.58)",0.01,Nausea and vomiting
R45,6,4.72,1.27,"(0.25, 2.29)",0.01,Symptoms and signs involving emotional state
R87,1,0.75,1.33,"(-1.28, 3.94)",0.01,Abnormal findings in specimens from female genital organs
R94,2,1.51,1.32,"(-0.52, 3.16)",0.01,Abnormal results of function studies
T27,1,0.7,1.43,"(-1.37, 4.23)",0.01,Burn and corrosion of respiratory tract
W01,1,0.69,1.45,"(-1.39, 4.29)",0.01,"Fall on same level from slipping, tripping and stumbling"
W34,2,1.35,1.48,"(-0.58, 3.54)",0.01,Acc disch and malfunct from oth and unsp firearms and guns
W55,1,0.84,1.19,"(-1.14, 3.52)",0.01,Contact with other mammals
X37,2,1.6,1.25,"(-0.47, 2.97)",0.01,Cataclysmic storm
C20,6,5.63,1.07,"(0.21, 1.93)",0,Malignant neoplasm of rectum
C55,9,8.09,1.11,"(0.38, 1.84)",0,"Malignant neoplasm of uterus, part unspecified"
C56,12,10.85,1.11,"(0.48, 1.74)",0,Malignant neoplasm of ovary
D72,11,10.74,1.02,"(0.41, 1.63)",0,Other disorders of white blood cells
E04,1,0.85,1.18,"(-1.13, 3.49)",0,Other nontoxic goiter
E21,4,3.85,1.04,"(0.02, 2.06)",0,Hyperparathyroidism and other disorders of parathyroid gland
E41,1,0.85,1.18,"(-1.13, 3.49)",0,Nutritional marasmus
E53,1,0.88,1.14,"(-1.09, 3.37)",0,Deficiency of other B group vitamins
E56,2,2.23,0.9,"(-0.33, 2.13)",-0,Other vitamin deficiencies
E63,8,7.07,1.13,"(0.35, 1.91)",0,Other nutritional deficiencies
F11,7,7.5600000000000005,0.93,"(0.24, 1.62)",-0,Opioid related disorders
F15,1,0.91,1.1,"(-1.06, 3.26)",0,Other stimulant related disorders
F19,24,23.4,1.03,"(0.62, 1.44)",0,Other psychoactive substance related disorders
F20,16,16.5,0.97,"(0.5, 1.44)",-0,Schizophrenia
H35,32,31.939999999999998,1,"(0.65, 1.35)",0,Other retinal disorders
H66,1,0.92,1.09,"(-1.05, 3.23)",0,Suppurative and unspecified otitis media
H91,8,8.35,0.96,"(0.29, 1.63)",-0,Other and unspecified hearing loss
I77,12,12.08,0.99,"(0.42, 1.56)",-0,Other disorders of arteries and arterioles
I89,4,3.56,1.12,"(0.02, 2.22)",0,Oth noninfective disorders of lymphatic vessels and nodes
J10,8,7.79,1.03,"(0.32, 1.74)",0,Influenza due to other identified influenza virus
J40,2,2.5,0.8,"(-0.32, 1.92)",-0,"Bronchitis, not specified as acute or chronic"
K25,5,4.78,1.05,"(0.13, 1.97)",0,Gastric ulcer
K26,10,10.16,0.98,"(0.37, 1.59)",-0,Duodenal ulcer
K52,2,2,1,"(-0.39, 2.39)",0,Other and unsp noninfective gastroenteritis and colitis
K75,4,4.24,0.94,"(0.02, 1.86)",-0,Other inflammatory liver diseases
M48,61,60.3,1.01,"(0.76, 1.26)",0,Other spondylopathies
M94,1,1.08,0.93,"(-0.89, 2.75)",-0,Other disorders of cartilage
N30,10,11.15,0.9,"(0.35, 1.45)",-0,Cystitis
N32,5,5.3100000000000005,0.94,"(0.12, 1.76)",-0,Other disorders of bladder
N63,1,0.88,1.14,"(-1.09, 3.37)",0,Unspecified lump in breast
N99,2,1.99,1.01,"(-0.38, 2.4)",0,"Intraop and postproc comp and disorders of GU sys, NEC"
R10,4,3.74,1.07,"(0.03, 2.11)",0,Abdominal and pelvic pain
R22,2,1.73,1.16,"(-0.45, 2.77)",0,"Localized swelling, mass and lump of skin, subcu"
R32,3,2.41,1.24,"(-0.17, 2.65)",0,Unspecified urinary incontinence
R50,7,6.55,1.07,"(0.29, 1.85)",0,Fever of other and unknown origin
R59,2,1.67,1.2,"(-0.47, 2.87)",0,Enlarged lymph nodes
R73,8,7.5600000000000005,1.06,"(0.33, 1.79)",0,Elevated blood glucose level
R79,6,6.26,0.96,"(0.2, 1.72)",-0,Other abnormal findings of blood chemistry
T30,6,5.55,1.08,"(0.22, 1.94)",0,"Burn and corrosion, body region unspecified"
T75,25,24.71,1.01,"(0.62, 1.4)",0,Other and unspecified effects of other external causes
T88,6,5.49,1.09,"(0.21, 1.97)",0,"Oth complications of surgical and medical care, NEC"
B94,1,1.2,0.83,"(-0.8, 2.46)",-0.01,Sequelae of other and unsp infectious and parasitic diseases
C43,15,18.66,0.8,"(0.39, 1.21)",-0.01,Malignant melanoma of skin
C83,10,11.28,0.89,"(0.34, 1.44)",-0.01,Non-follicular lymphoma
D50,22,25.45,0.86,"(0.51, 1.21)",-0.01,Iron deficiency anemia
D65,9,10.25,0.88,"(0.31, 1.45)",-0.01,Disseminated intravascular coagulation
E05,14,15.940000000000001,0.88,"(0.43, 1.33)",-0.01,Thyrotoxicosis [hyperthyroidism]
G21,3,3.44,0.87,"(-0.11, 1.85)",-0.01,Secondary parkinsonism
I33,2,2.39,0.84,"(-0.32, 2)",-0.01,Acute and subacute endocarditis
I63,162,165.77,0.98,"(0.82, 1.14)",-0.01,Cerebral infarction
J61,6,8.72,0.69,"(0.14, 1.24)",-0.01,Pneumoconiosis due to asbestos and other mineral fibers
K27,7,7.87,0.89,"(0.22, 1.56)",-0.01,"Peptic ulcer, site unspecified"
K85,13,15.08,0.86,"(0.39, 1.33)",-0.01,Acute pancreatitis
M35,15,18.82,0.8,"(0.39, 1.21)",-0.01,Other systemic involvement of connective tissue
M54,18,21.31,0.84,"(0.45, 1.23)",-0.01,Dorsalgia
M85,32,34.91,0.92,"(0.61, 1.23)",-0.01,Other disorders of bone density and structure
A09,10,14.280000000000001,0.7,"(0.27, 1.13)",-0.02,"Infectious gastroenteritis and colitis, unspecified"
C82,3,4.29,0.7,"(-0.08, 1.48)",-0.02,Follicular lymphoma
C84,1,1.51,0.66,"(-0.63, 1.95)",-0.02,Mature T/NK-cell lymphomas
E16,7,11.11,0.63,"(0.16, 1.1)",-0.02,Other disorders of pancreatic internal secretion
H05,1,1.45,0.69,"(-0.66, 2.04)",-0.02,Disorders of orbit
I31,7,8.69,0.81,"(0.22, 1.4)",-0.02,Other diseases of pericardium
I34,41,46.2,0.89,"(0.62, 1.16)",-0.02,Nonrheumatic mitral valve disorders
I60,8,10.21,0.78,"(0.23, 1.33)",-0.02,Nontraumatic subarachnoid hemorrhage
I74,17,22.099999999999998,0.77,"(0.4, 1.14)",-0.02,Arterial embolism and thrombosis
I83,1,1.48,0.68,"(-0.65, 2.01)",-0.02,Varicose veins of lower extremities
K50,6,8.82,0.68,"(0.13, 1.23)",-0.02,Crohn's disease [regional enteritis]
K57,16,20.14,0.79,"(0.4, 1.18)",-0.02,Diverticular disease of intestine
K59,8,11.83,0.68,"(0.21, 1.15)",-0.02,Other functional intestinal disorders
K62,2,3.53,0.57,"(-0.21, 1.35)",-0.02,Other diseases of anus and rectum
K86,4,5.38,0.74,"(0.01, 1.47)",-0.02,Other diseases of pancreas
L02,10,12.86,0.78,"(0.29, 1.27)",-0.02,"Cutaneous abscess, furuncle and carbuncle"
M25,54,60.31,0.9,"(0.66, 1.14)",-0.02,"Other joint disorder, not elsewhere classified"
R31,5,9.07,0.55,"(0.06, 1.04)",-0.02,Hematuria
T78,1,1.58,0.63,"(-0.6, 1.86)",-0.02,"Adverse effects, not elsewhere classified"
C67,63,72.08,0.87,"(0.65, 1.09)",-0.03,Malignant neoplasm of bladder
F31,11,16.57,0.66,"(0.27, 1.05)",-0.03,Bipolar disorder
H26,1,2.07,0.48,"(-0.46, 1.42)",-0.03,Other cataract
H53,1,1.86,0.54,"(-0.52, 1.6)",-0.03,Visual disturbances
I20,7,14.9,0.47,"(0.12, 0.82)",-0.03,Angina pectoris
K51,4,6.34,0.63,"(0, 1.26)",-0.03,Ulcerative colitis
M46,2,4.05,0.49,"(-0.2, 1.18)",-0.03,Other inflammatory spondylopathies
N00,14,22.22,0.63,"(0.3, 0.96)",-0.03,Acute nephritic syndrome
R33,12,18.43,0.65,"(0.28, 1.02)",-0.03,Retention of urine
T86,3,4.75,0.63,"(-0.08, 1.34)",-0.03,Complications of transplanted organs and tissue
A04,39,49.13,0.79,"(0.54, 1.04)",-0.04,Other bacterial intestinal infections
B18,35,43.410000000000004,0.81,"(0.54, 1.08)",-0.04,Chronic viral hepatitis
G82,2,4.43,0.45,"(-0.18, 1.08)",-0.04,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
I44,29,40.96,0.71,"(0.46, 0.96)",-0.04,Atrioventricular and left bundle-branch block
I87,5,9.44,0.53,"(0.06, 1)",-0.04,Other disorders of veins
J93,13,21.07,0.62,"(0.29, 0.95)",-0.04,Pneumothorax and air leak
K22,14,22.98,0.61,"(0.3, 0.92)",-0.04,Other diseases of esophagus
R04,11,16.57,0.66,"(0.27, 1.05)",-0.04,Hemorrhage from respiratory passages
C44,27,42.72,0.63,"(0.39, 0.87)",-0.05,Other and unspecified malignant neoplasm of skin
C44,27,42.72,0.63,"(0.39, 0.87)",-0.05,Mesothelioma
C44,27,42.72,0.63,"(0.39, 0.87)",-0.05,Kaposi's sarcoma
C44,27,42.72,0.63,"(0.39, 0.87)",-0.05,Malignant neoplasm of prph nerves and autonomic nervous sys
D70,3,6.3999999999999995,0.47,"(-0.06, 1)",-0.05,Neutropenia
E10,25,36.94,0.68,"(0.41, 0.95)",-0.05,Type 1 diabetes mellitus
F91,21,37.81,0.56,"(0.32, 0.8)",-0.05,Conduct disorders
G40,14,26.07,0.54,"(0.27, 0.81)",-0.05,Epilepsy and recurrent seizures
M21,1,1.87,0.53,"(-0.51, 1.57)",-0.05,Other acquired deformities of limbs
K31,1,3.59,0.28,"(-0.27, 0.83)",-0.06,Other diseases of stomach and duodenum
K83,7,16.59,0.42,"(0.11, 0.73)",-0.06,Other diseases of biliary tract
L98,4,10.29,0.39,"(0.02, 0.76)",-0.06,"Oth disorders of skin, subcu, not elsewhere classified"
M60,1,2.8,0.36,"(-0.35, 1.07)",-0.06,Myositis
R60,11,24.48,0.45,"(0.18, 0.72)",-0.06,"Edema, not elsewhere classified"
E83,8,17.71,0.45,"(0.14, 0.76)",-0.07,Disorders of mineral metabolism
F41,37,55.51,0.67,"(0.45, 0.89)",-0.07,Other anxiety disorders
I95,104,125.35,0.83,"(0.67, 0.99)",-0.07,Hypotension
L03,34,51.87,0.66,"(0.44, 0.88)",-0.07,Cellulitis and acute lymphangitis
R47,10,27.44,0.36,"(0.12, 0.6)",-0.07,"Speech disturbances, not elsewhere classified"
Y84,18,35.68,0.5,"(0.26, 0.74)",-0.07,"Oth medical procedures cause abn react/compl, w/o misadvnt"
D61,21,37.29,0.56,"(0.32, 0.8)",-0.08,Oth aplastic anemias and other bone marrow failure syndromes
I67,201,227.35999999999999,0.88,"(0.76, 1)",-0.08,Other cerebrovascular diseases
I82,15,32.07,0.47,"(0.23, 0.71)",-0.08,Other venous embolism and thrombosis
I99,31,54.67,0.57,"(0.37, 0.77)",-0.08,Other and unspecified disorders of circulatory system
K76,44,63.19,0.7,"(0.5, 0.9)",-0.08,Other diseases of liver
M71,1,3.37,0.3,"(-0.29, 0.89)",-0.08,Other bursopathies
N13,9,29.28,0.31,"(0.11, 0.51)",-0.08,Obstructive and reflux uropathy
I61,41,64.48,0.64,"(0.44, 0.84)",-0.09,Nontraumatic intracerebral hemorrhage
R02,11,31.64,0.35,"(0.15, 0.55)",-0.09,"Gangrene, not elsewhere classified"
R19,5,15.629999999999999,0.32,"(0.05, 0.59)",-0.09,Oth symptoms and signs involving the dgstv sys and abdomen
M06,77,105.88,0.73,"(0.57, 0.89)",-0.1,Other rheumatoid arthritis
M80,35,59.57,0.59,"(0.39, 0.79)",-0.1,Osteoporosis with current pathological fracture
T39,1,3.2,0.31,"(-0.3, 0.92)",-0.1,"Nonopioid analgesics, antipyretics and antirheumatics"
T83,2,7.4799999999999995,0.27,"(-0.1, 0.64)",-0.1,Complications of genitourinary prosth dev/grft
I45,40,71.9,0.56,"(0.38, 0.74)",-0.11,Other conduction disorders
K65,10,25.42,0.39,"(0.15, 0.63)",-0.11,Peritonitis
M10,16,42.97,0.37,"(0.19, 0.55)",-0.11,Gout
R18,7,25.94,0.27,"(0.07, 0.47)",-0.11,Ascites
R58,18,44.32,0.41,"(0.21, 0.61)",-0.11,"Hemorrhage, not elsewhere classified"
W18,1,6.02,0.17,"(-0.16, 0.5)",-0.11,"Other slipping, tripping and stumbling and falls"
M24,2,8.24,0.24,"(-0.09, 0.57)",-0.12,Other specific joint derangements
M87,1,5.34,0.19,"(-0.18, 0.56)",-0.12,Osteonecrosis
C77,2,8.08,0.25,"(-0.1, 0.6)",-0.13,Secondary malignant neoplasm of other and unspecified sites
E43,37,70.51,0.52,"(0.34, 0.7)",-0.13,Unspecified severe protein-calorie malnutrition
G81,24,57.68,0.42,"(0.26, 0.58)",-0.13,Hemiplegia and hemiparesis
J80,20,47.58,0.42,"(0.24, 0.6)",-0.13,Acute respiratory distress syndrome
J84,101,139.73,0.72,"(0.58, 0.86)",-0.13,Other interstitial pulmonary diseases
M05,1,4.37,0.23,"(-0.22, 0.68)",-0.13,Rheumatoid arthritis with rheumatoid factor
N40,24,67.69,0.35,"(0.21, 0.49)",-0.13,Enlarged prostate
R91,27,65.85,0.41,"(0.25, 0.57)",-0.13,Abnormal findings on diagnostic imaging of lung
T21,2,7.68,0.26,"(-0.09, 0.61)",-0.13,Burn and corrosion of trunk
T42,1,4.15,0.24,"(-0.23, 0.71)",-0.13,"Antiepileptic, sedative- hypnotic and antiparkinsonism drugs"
H40,17,47.8,0.36,"(0.18, 0.54)",-0.14,Glaucoma
I24,11,36.3,0.3,"(0.12, 0.48)",-0.14,Other acute ischemic heart diseases
I47,35,73.95,0.47,"(0.31, 0.63)",-0.14,Paroxysmal tachycardia
I62,18,52.9,0.34,"(0.18, 0.5)",-0.14,Other and unspecified nontraumatic intracranial hemorrhage
J15,31,74.37,0.42,"(0.28, 0.56)",-0.15,"Bacterial pneumonia, not elsewhere classified"
T46,1,6.02,0.17,"(-0.16, 0.5)",-0.15,Agents primarily affecting the cardiovascular system
E88,41,80.14,0.51,"(0.35, 0.67)",-0.16,Other and unspecified metabolic disorders
R64,107,162.57,0.66,"(0.54, 0.78)",-0.16,Cachexia
I12,534,590.81,0.9,"(0.82, 0.98)",-0.18,Hypertensive chronic kidney disease
I71,45,100.08,0.45,"(0.31, 0.59)",-0.18,Aortic aneurysm and dissection
K21,49,104.77,0.47,"(0.33, 0.61)",-0.18,Gastro-esophageal reflux disease
K63,9,42.97,0.21,"(0.07, 0.35)",-0.18,Other diseases of intestine
M86,16,57.3,0.28,"(0.14, 0.42)",-0.18,Osteomyelitis
T20,2,10.82,0.18,"(-0.07, 0.43)",-0.18,"Burn and corrosion of head, face, and neck"
T45,3,13.959999999999999,0.21,"(-0.03, 0.45)",-0.18,"Primarily systemic and hematological agents, NEC"
T84,38,89.13,0.43,"(0.29, 0.57)",-0.18,Complications of internal orthopedic prosth dev/grft
I69,262,323.27000000000004,0.81,"(0.71, 0.91)",-0.19,Sequelae of cerebrovascular disease
K55,18,66.97,0.27,"(0.15, 0.39)",-0.2,Vascular disorders of intestine
W19,6,46.21,0.13,"(0.03, 0.23)",-0.21,Unspecified fall
E86,112,186.57999999999998,0.6,"(0.48, 0.72)",-0.22,Volume depletion
J81,34,98.86,0.34,"(0.22, 0.46)",-0.23,Pulmonary edema
L89,66,141.54,0.47,"(0.35, 0.59)",-0.24,Pressure ulcer
R00,73,148.21,0.49,"(0.37, 0.61)",-0.24,Abnormalities of heart beat
T40,8,36.94,0.22,"(0.06, 0.38)",-0.24,Narcotics and psychodysleptics
T43,9,35.96,0.25,"(0.09, 0.41)",-0.24,"Psychotropic drugs, not elsewhere classified"
J90,75,147.39,0.51,"(0.39, 0.63)",-0.25,"Pleural effusion, not elsewhere classified"
W80,94,173.81,0.54,"(0.42, 0.66)",-0.25,Inhalation and ingestion of other objects causing obstruction of respiratory tract
I42,150,227.14,0.66,"(0.56, 0.76)",-0.26,Cardiomyopathy
T24,1,6.92,0.14,"(-0.13, 0.41)",-0.26,"Burn and corrosion of lower limb, except ankle and foot"
I27,153,235.68,0.65,"(0.55, 0.75)",-0.27,Other pulmonary heart diseases
K56,41,112.98,0.36,"(0.24, 0.48)",-0.28,Paralytic ileus and intestinal obstruction without hernia
F32,76,157.07,0.48,"(0.36, 0.6)",-0.29,"Major depressive disorder, single episode"
T82,17,88.17,0.19,"(0.09, 0.29)",-0.3,Complications of cardiac and vascular prosth dev/grft
E03,223,326.3,0.68,"(0.58, 0.78)",-0.31,Other hypothyroidism
G47,64,146.47,0.44,"(0.34, 0.54)",-0.31,Sleep disorders
T50,3,22.02,0.14,"(-0.02, 0.3)",-0.31,Diuretics and oth and unsp drug/meds/biol subst
I21,310,415.46,0.75,"(0.67, 0.83)",-0.35,STEMI & NSTEMI mocard infrc
N39,326,448.06,0.73,"(0.65, 0.81)",-0.36,Other disorders of urinary system
T22,1,6.98,0.14,"(-0.13, 0.41)",-0.38,"Burn and corrosion of shldr/up lmb, except wrist and hand"
F01,117,253.87,0.46,"(0.38, 0.54)",-0.39,Vascular dementia
K72,26,100.29,0.26,"(0.16, 0.36)",-0.4,"Hepatic failure, not elsewhere classified"
E78,684,813.05,0.84,"(0.78, 0.9)",-0.42,Disorders of lipoprotein metabolism and other lipidemias
R63,65,197.48999999999998,0.33,"(0.25, 0.41)",-0.42,Symptoms and signs concerning food and fluid intake
A49,30,142.89000000000001,0.21,"(0.13, 0.29)",-0.44,Bacterial infection of unspecified site
I73,152,303.7,0.5,"(0.42, 0.58)",-0.48,Other peripheral vascular diseases
N19,129,294.8,0.44,"(0.36, 0.52)",-0.54,Unspecified kidney failure
E46,146,323.9,0.45,"(0.37, 0.53)",-0.55,Unspecified protein-calorie malnutrition
N28,94,258.84,0.36,"(0.28, 0.44)",-0.55,"Oth disorders of kidney and ureter, not elsewhere classified"
K92,97,267.48,0.36,"(0.28, 0.44)",-0.56,Other diseases of digestive system
R06,93,252.79000000000002,0.37,"(0.29, 0.45)",-0.57,Abnormalities of breathing
M84,6,65.88,0.09,"(0.01, 0.17)",-0.59,Disorder of continuity of bone
D64,343,534.96,0.64,"(0.58, 0.7)",-0.6,Other anemias
E87,154,337.81,0.46,"(0.38, 0.54)",-0.61,"Other disorders of fluid, electrolyte and acid-base balance"
R99,111,306.48,0.36,"(0.3, 0.42)",-0.64,Ill-defined and unknown cause of mortality
R68,281,488.21,0.58,"(0.52, 0.64)",-0.69,Other general symptoms and signs
I70,161,387.96999999999997,0.41,"(0.35, 0.47)",-0.71,Atherosclerosis
J69,359,619.5500000000001,0.58,"(0.52, 0.64)",-0.8,Pneumonitis due to solids and liquids
J18,916,1167.16,0.78,"(0.72, 0.84)",-0.81,"Pneumonia, unspecified organism"
I49,212,460.02,0.46,"(0.4, 0.52)",-0.82,Other cardiac arrhythmias
N18,574,954.06,0.6,"(0.54, 0.66)",-1.21,Chronic kidney disease (CKD)
R57,80,465.09000000000003,0.17,"(0.13, 0.21)",-1.41,"Shock, not elsewhere classified"
R62,615,1115.73,0.55,"(0.51, 0.59)",-1.44,Lack of expected normal physiol dev in childhood and adults
R13,125,610.24,0.2,"(0.16, 0.24)",-1.45,Aphagia and dysphagia
N17,193,642.83,0.3,"(0.26, 0.34)",-1.49,Acute kidney failure
C79,50,416.41,0.12,"(0.08, 0.16)",-1.57,Malignant neuroendocrine tumors
C79,50,416.41,0.12,"(0.08, 0.16)",-1.57,Secondary neuroendocrine tumors
E11,429,905.15,0.47,"(0.43, 0.51)",-1.62,Type 2 diabetes mellitus
C78,45,554.27,0.08,"(0.06, 0.1)",-2,Secondary malignant neoplasm of other and unspecified sites
C78,45,554.27,0.08,"(0.06, 0.1)",-2,Malignant neuroendocrine tumors
R09,368,1065.6399999999999,0.35,"(0.31, 0.39)",-2.27,Oth symptoms and signs involving the circ and resp sys
A41,583,1729.39,0.34,"(0.32, 0.36)",-4.01,Other sepsis
I50,1890,3935.44,0.48,"(0.46, 0.5)",-6.52,Heart failure
J96,1322,3655.19,0.36,"(0.34, 0.38)",-8.48,"Respiratory failure, not elsewhere classified"
F17,972,3141.57,0.31,"(0.29, 0.33)",-8.63,Nicotine dependence
I46,813,4133.21,0.2,"(0.18, 0.22)",-11.95,Cardiac arrest
